Time	Open	High	Low	Close	Volume
2024-02-01 15:00:00	1.08084	1.08199	1.08056	1.08151	23418	3
2024-02-01 16:00:00	1.0815	1.08272	1.08087	1.08138	35066	2
2024-02-01 17:00:00	1.08137	1.08298	1.08115	1.08265	36124	3
2024-02-01 18:00:00	1.08265	1.08318	1.08058	1.08264	58168	4
2024-02-01 19:00:00	1.08263	1.08658	1.08263	1.08645	39490	2
2024-02-01 20:00:00	1.08645	1.08747	1.08607	1.08727	23849	2
2024-02-01 21:00:00	1.08727	1.08732	1.08629	1.08698	20190	2
2024-02-01 22:00:00	1.08698	1.08748	1.08678	1.08718	14393	2
2024-02-01 23:00:00	1.08719	1.08748	1.08681	1.08716	8132	3
2024-02-02 00:00:00	1.08715	1.08732	1.08681	1.08712	4313	2
2024-02-02 01:00:00	1.08712	1.08735	1.08668	1.08726	6956	26
2024-02-02 02:00:00	1.08726	1.08761	1.08722	1.08742	2660	7
2024-02-02 03:00:00	1.08741	1.08796	1.08716	1.08727	5378	4
2024-02-02 04:00:00	1.08727	1.08758	1.08701	1.08716	9685	3
2024-02-02 05:00:00	1.08717	1.08786	1.08713	1.08784	7107	2
2024-02-02 06:00:00	1.08786	1.08788	1.08734	1.08767	7192	2
2024-02-02 07:00:00	1.08765	1.08773	1.08719	1.0873	5442	2
2024-02-02 08:00:00	1.0873	1.08825	1.08723	1.08774	6214	2
2024-02-02 09:00:00	1.08774	1.0881	1.08739	1.08757	10146	2
2024-02-02 10:00:00	1.08757	1.08869	1.08743	1.08808	13896	2
2024-02-02 11:00:00	1.08809	1.08902	1.08735	1.08792	18982	3
2024-02-02 12:00:00	1.08792	1.08974	1.08792	1.08908	11609	2
2024-02-02 13:00:00	1.08907	1.0895	1.08806	1.08845	10086	2
2024-02-02 14:00:00	1.08844	1.08863	1.08781	1.08835	8959	2
2024-02-02 15:00:00	1.08837	1.08851	1.08776	1.08803	10248	3
2024-02-02 16:00:00	1.08802	1.0886	1.08036	1.08072	42091	3
2024-02-02 17:00:00	1.08071	1.08168	1.07916	1.08086	43917	3
2024-02-02 18:00:00	1.08086	1.0811	1.07832	1.08023	43624	4
2024-02-02 19:00:00	1.08024	1.08037	1.07823	1.07861	29237	2
2024-02-02 20:00:00	1.07861	1.07925	1.07808	1.07834	14773	3
2024-02-02 21:00:00	1.07836	1.0791	1.07804	1.07881	17663	2
2024-02-02 22:00:00	1.07882	1.07957	1.07861	1.07925	11330	2
2024-02-02 23:00:00	1.07926	1.07974	1.0792	1.07931	7983	3
2024-02-05 01:00:00	1.07854	1.07858	1.07796	1.07803	3625	23
2024-02-05 02:00:00	1.07799	1.07835	1.07698	1.07796	6862	8
2024-02-05 03:00:00	1.07796	1.07831	1.07673	1.07726	18094	3
2024-02-05 04:00:00	1.07726	1.07787	1.07686	1.07783	9913	3
2024-02-05 05:00:00	1.07783	1.07811	1.07755	1.07788	7855	3
2024-02-05 06:00:00	1.07789	1.07809	1.07743	1.07791	6525	2
2024-02-05 07:00:00	1.0779	1.078	1.07755	1.07788	4401	3
2024-02-05 08:00:00	1.07788	1.0782	1.07733	1.07819	7597	2
2024-02-05 09:00:00	1.07819	1.07847	1.07772	1.07779	6957	3
2024-02-05 10:00:00	1.07778	1.07832	1.07726	1.07802	10538	3
2024-02-05 11:00:00	1.07802	1.07861	1.07635	1.07667	19269	2
2024-02-05 12:00:00	1.07667	1.07728	1.07519	1.07537	15244	4
2024-02-05 13:00:00	1.07536	1.0756	1.07477	1.07492	13546	3
2024-02-05 14:00:00	1.07493	1.07585	1.07469	1.07548	9544	2
